Player,Pos.,Team,Total Value,Avg/Year,"Total 
Guaranteed","Avg. 
Guarantee/Year",% Guaranteed
Patrick Mahomes,QB,Chiefs,"$450,000,000","$45,000,000","$63,081,905","$6,308,191",14.0%
Deshaun Watson,QB,Texans,"$156,000,000","$39,000,000","$74,894,247","$18,723,562",48.0%
Russell Wilson,QB,Seahawks,"$140,000,000","$35,000,000","$70,000,000","$17,500,000",50.0%
Ben Roethlisberger,QB,Steelers,"$68,000,000","$34,000,000","$37,500,000","$18,750,000",55.1%
Jared Goff,QB,Rams,"$134,000,000","$33,500,000","$57,042,682","$14,260,671",42.6%
Aaron Rodgers,QB,Packers,"$134,000,000","$33,500,000","$78,700,000","$19,675,000",58.7%
Kirk Cousins,QB,Vikings,"$66,000,000","$33,000,000","$61,000,000","$30,500,000",92.4%
Carson Wentz,QB,Eagles,"$128,000,000","$32,000,000","$66,470,683","$16,617,671",51.9%
Dak Prescott,QB,Cowboys,"$31,409,000","$31,409,000","$31,409,000","$31,409,000",100.0%
Matt Ryan,QB,Falcons,"$150,000,000","$30,000,000","$94,500,000","$18,900,000",63.0%
Ryan Tannehill,QB,Titans,"$118,000,000","$29,500,000","$62,000,000","$15,500,000",52.5%
Jacoby Brissett,QB,Colts,"$27,975,000","$27,975,000","$20,000,000","$20,000,000",71.5%
Jimmy Garoppolo,QB,49ers,"$137,500,000","$27,500,000","$48,700,000","$9,740,000",35.4%
DeAndre Hopkins,WR,Cardinals,"$54,500,000","$27,250,000","$42,750,000","$21,375,000",78.4%
Matthew Stafford,QB,Lions,"$135,000,000","$27,000,000","$60,500,000","$12,100,000",44.8%
Joey Bosa,EDGE,Chargers,"$135,000,000","$27,000,000","$78,000,000","$15,600,000",57.8%
Derek Carr,QB,Raiders,"$125,025,000","$25,005,000","$40,000,000","$8,000,000",32.0%
Philip Rivers,QB,Colts,"$25,000,000","$25,000,000","$25,000,000","$25,000,000",100.0%
Drew Brees,QB,Saints,"$50,000,000","$25,000,000","$25,000,000","$12,500,000",50.0%
Tom Brady,QB,Buccaneers,"$50,000,000","$25,000,000","$50,000,000","$25,000,000",100.0%
Myles Garrett,EDGE,Browns,"$125,000,000","$25,000,000","$50,000,000","$10,000,000",40.0%
Alex Smith,QB,Washington,"$94,000,000","$23,500,000","$55,000,000","$13,750,000",58.5%
Khalil Mack,EDGE,Bears,"$141,000,000","$23,500,000","$60,000,000","$10,000,000",42.6%
Aaron Donald,IDL,Rams,"$135,000,000","$22,500,000","$50,000,000","$8,333,333",37.0%
Laremy Tunsil,LT,Texans,"$66,000,000","$22,000,000","$40,000,000","$13,333,333",60.6%
Julio Jones,WR,Falcons,"$66,000,000","$22,000,000","$64,000,000","$21,333,333",97.0%
Teddy Bridgewater,QB,Panthers,"$63,000,000","$21,000,000","$33,000,000","$11,000,000",52.4%
DeForest Buckner,IDL,Colts,"$84,000,000","$21,000,000","$39,378,000","$9,844,500",46.9%
Demarcus Lawrence,EDGE,Cowboys,"$105,000,000","$21,000,000","$48,000,000","$9,600,000",45.7%
Frank Clark,EDGE,Chiefs,"$104,000,000","$20,800,000","$43,805,000","$8,761,000",42.1%
Keenan Allen,WR,Chargers,"$80,100,000","$20,025,000","$32,000,000","$8,000,000",40.0%
Chris Jones,IDL,Chiefs,"$80,000,000","$20,000,000","$37,626,000","$9,406,500",47.0%
Amari Cooper,WR,Cowboys,"$100,000,000","$20,000,000","$40,000,000","$8,000,000",40.0%
Jalen Ramsey,CB,Rams,"$100,000,000","$20,000,000","$71,200,000","$14,240,000",71.2%
Ronnie Stanley,LT,Ravens,"$98,750,000","$19,750,000","$64,116,000","$12,823,200",64.9%
Marlon Humphrey,CB,Ravens,"$97,500,000","$19,500,000","$40,324,566","$8,064,913",41.4%
Michael Thomas,WR,Saints,"$96,250,000","$19,250,000","$35,648,043","$7,129,609",37.0%
Von Miller,EDGE,Broncos,"$114,500,000","$19,083,333","$42,000,000","$7,000,000",36.7%
A.J. Green,WR,Bengals,"$18,171,000","$18,171,000","$17,971,000","$17,971,000",98.9%
Tyreek Hill,WR,Chiefs,"$54,000,000","$18,000,000","$18,340,000","$6,113,333",34.0%
Bobby Wagner,LB,Seahawks,"$54,000,000","$18,000,000","$24,500,000","$8,166,667",45.4%
Lane Johnson,RT,Eagles,"$72,000,000","$18,000,000","$25,000,000","$6,250,000",34.7%
Odell Beckham Jr.,WR,Browns,"$90,000,000","$18,000,000","$40,959,000","$8,191,800",45.5%
Trey Flowers,EDGE,Lions,"$90,000,000","$18,000,000","$50,000,000","$10,000,000",55.6%
Kenny Clark,DT,Packers,"$70,000,000","$17,500,000","$25,000,000","$6,250,000",35.7%
Cameron Jordan,EDGE,Saints,"$52,500,000","$17,500,000","$27,935,000","$9,311,667",53.2%
Tre'Davious White,CB,Bills,"$69,000,000","$17,250,000","$36,700,000","$9,175,000",53.2%
Fletcher Cox,IDL,Eagles,"$102,600,000","$17,100,000","$36,299,000","$6,049,833",35.4%
Dee Ford,EDGE,49ers,"$85,000,000","$17,000,000","$19,750,000","$3,950,000",23.2%
Arik Armstead,EDGE,49ers,"$85,000,000","$17,000,000","$34,150,000","$6,830,000",40.2%
Grady Jarrett,IDL,Falcons,"$68,000,000","$17,000,000","$38,000,000","$9,500,000",55.9%
C.J. Mosley,LB,Jets,"$85,000,000","$17,000,000","$43,000,000","$8,600,000",50.6%
Matthew Judon,EDGE,Ravens,"$16,808,000","$16,808,000","$16,808,000","$16,808,000",100.0%
Darius Slay,CB,Eagles,"$50,050,000","$16,683,333","$26,050,000","$8,683,333",52.0%
J.J. Watt,IDL,Texans,"$100,000,000","$16,666,667","$20,876,385","$3,479,398",20.9%
Anthony Castonzo,LT,Colts,"$33,000,000","$16,500,000","$17,000,000","$8,500,000",51.5%
Za'Darius Smith,EDGE,Packers,"$66,000,000","$16,500,000","$20,000,000","$5,000,000",30.3%
Chandler Jones,EDGE,Cardinals,"$82,500,000","$16,500,000","$31,000,000","$6,200,000",37.6%
Trent Brown,RT,Raiders,"$66,000,000","$16,500,000","$36,250,000","$9,062,500",54.9%
Mike Evans,WR,Buccaneers,"$82,500,000","$16,500,000","$38,258,000","$7,651,600",46.4%
Byron Jones,CB,Dolphins,"$82,500,000","$16,500,000","$46,000,000","$9,200,000",55.8%
Cameron Heyward,DE,Steelers,"$65,600,000","$16,400,000","$20,250,000","$5,062,500",30.9%
Geno Atkins,IDL,Bengals,"$65,200,000","$16,300,000","$17,000,000","$4,250,000",26.1%
Robert Woods,WR,Rams,"$65,000,000","$16,250,000","$18,205,882","$4,551,471",28.0%
Adam Thielen,WR,Vikings,"$64,800,000","$16,200,000","$14,105,000","$3,526,250",21.8%
Brandin Cooks,WR,Texans,"$81,000,000","$16,200,000","$20,459,000","$4,091,800",25.3%
Leonard Williams,IDL,Giants,"$16,126,000","$16,126,000",$0,$0,0.0%
Kawann Short,IDL,Panthers,"$80,500,000","$16,100,000","$35,000,000","$7,000,000",43.5%
Christian McCaffrey,RB,Panthers,"$64,063,412","$16,015,853","$30,062,500","$7,515,625",46.9%
Melvin Ingram,EDGE,Chargers,"$64,000,000","$16,000,000","$34,000,000","$8,500,000",53.1%
Taylor Lewan,LT,Titans,"$80,000,000","$16,000,000","$34,000,000","$6,800,000",42.5%
Shaquil Barrett,EDGE,Buccaneers,"$15,828,000","$15,828,000","$15,828,000","$15,828,000",100.0%
Bud Dupree,EDGE,Steelers,"$15,828,000","$15,828,000","$15,828,000","$15,828,000",100.0%
Cooper Kupp,WR,Rams,"$47,250,000","$15,750,000","$20,633,000","$6,877,667",43.7%
Nate Solder,LT,Giants,"$62,000,000","$15,500,000","$34,800,000","$8,700,000",56.1%
Jurrell Casey,IDL,Broncos,"$60,400,000","$15,100,000","$22,000,000","$5,500,000",36.4%
Jarvis Landry,WR,Browns,"$75,500,000","$15,100,000","$34,000,000","$6,800,000",45.0%
